Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Vangenderen, Monique Luise",VIS 106A - Painting: Image Making (A),FA16,25,25,95.80%,95.80%,4.76,A- (3.82),A- (3.84)
"Guerrero, Raul M.",VIS 106B - Painting: Practices and Genre (A),FA16,22,8,100.00%,100.00%,3.17,A (4.00),A (4.00)
"Gregoire, Mathieu",VIS 107B - Sculpture: Practices & Genre (A),FA16,18,12,100.00%,100.00%,9.5,A- (3.75),N/A
"Adler, Amy","VIS 110C - Proposals, Plans, Presentation (A)",FA16,16,16,100.00%,100.00%,6.13,A- (3.88),N/A
"Bryson, William N",VIS 124BN - Art and the Enlightenment (A),FA16,66,48,91.10%,95.60%,4.45,B (3.29),B- (2.78)
"Rose, Jordan M",VIS 124CN - Nineteenth Century Art (A),FA16,37,18,83.30%,88.90%,6.83,B+ (3.54),B+ (3.42)
"Nodelman, Sheldon A.",VIS 125DN - Marcel Duchamp (A),FA16,30,15,85.70%,64.30%,5.5,B (3.27),B+ (3.40)
"Newsome, Elizabeth Ann",VIS 126BN - Art&Civilization/Ancient Maya (A),FA16,69,25,91.70%,91.70%,4,B+ (3.44),B (3.16)
"Shen, Kuiyi",VIS 127C - Arts of Modern China (A),FA16,142,55,88.50%,92.30%,5.72,B+ (3.59),B+ (3.68)
"Stalbaum, Brett",VIS 141B - Computer Programming/Arts II (A),FA16,8,4,100.00%,100.00%,9,A- (3.75),N/A
"Stalbaum, Brett",VIS 142 - Practices in Computing Arts (A),FA16,54,30,85.70%,89.30%,7.43,B+ (3.48),B+ (3.46)
"Byrd, Stefani Michele",VIS 145B - Time&Process Digital Media II (A),FA16,12,10,80.00%,80.00%,5.7,B+ (3.50),N/A
"Grenader, Emily Ruth",VIS 147A - Electronic Technologies/Art I (A),FA16,38,29,92.90%,92.90%,5.81,B+ (3.58),B+ (3.55)
"Kester, Grant",VIS 158 - Histories of Photography (A),FA16,131,59,87.90%,96.60%,3.81,B+ (3.56),B+ (3.38)
"Wallen, Ruth",VIS 164 - Photographic Strategies (A),FA16,25,10,70.00%,60.00%,6.7,B+ (3.60),B+ (3.38)
"Cross, Brian R",VIS 171 - Digital Cinema-Theory/Productn (A),FA16,19,8,100.00%,71.40%,6.21,B+ (3.57),N/A
"Cross, Brian R",VIS 174 - Media Sketchbook (A),FA16,23,12,100.00%,100.00%,8.86,A- (3.73),A- (3.87)
"Osterloh, Gina B",VIS 174 - Media Sketchbook (B),FA16,22,16,100.00%,93.80%,6.79,A- (3.87),A- (3.91)
"Cho, Erica",VIS 175 - Editing - Theory & Production (A),FA16,20,11,100.00%,100.00%,6.1,B+ (3.45),B+ (3.62)
"Trigilio, Michael",VIS 178 - Sound - Theory and Production (A),FA16,21,17,100.00%,100.00%,7.5,B+ (3.57),B- (2.94)
"Tonies, Joshua Vanjaymes",VIS 180B - Fic & Allegory/Curr Media Prac (A),FA16,21,13,100.00%,100.00%,5,A- (3.83),A- (3.84)
"Cho, Erica",VIS 183A - Strategies of Self (A),FA16,21,10,66.70%,100.00%,5.61,A- (3.75),B+ (3.70)
"Crandall, Jordan",VIS 183B - Strategies of Alterity (A),FA16,26,13,91.70%,91.70%,6.5,B+ (3.67),B+ (3.55)
"Woods, Ann",VIS 20 - Introduction to Art History (A),FA16,272,116,89.30%,96.40%,4.43,B+ (3.48),B+ (3.37)
"Newsome, Elizabeth Ann",VIS 23 - Informtn Technologies/Art Hist (A),FA16,13,5,80.00%,80.00%,3.3,A- (3.80),N/A
"Cruz, Edwin Teddy",VIS 30 - Intro to Speculative Design (A),FA16,75,48,84.10%,88.60%,3.52,B+ (3.63),B+ (3.69)
"Wade, Nathan S",VIS 41 - Design Communication (A),FA16,91,47,90.90%,84.10%,6.31,A- (3.81),A- (3.72)
"Osterloh, Gina B",VIS 60 - Intro/Digital Photography (A),FA16,166,105,89.70%,76.30%,4.95,A- (3.76),B+ (3.69)
"Trigilio, Michael",VIS 70N - Introduction to Media (A),FA16,88,80,93.80%,97.50%,5.78,B+ (3.35),B (3.10)
"Williams, Alena J",VIS 84 - History Of Film (A),FA16,182,105,75.00%,85.00%,5.37,B+ (3.53),B (3.21)
"Shen, Kuiyi",VIS 127C - Arts of Modern China (A),S216,56,16,64.30%,71.40%,6.65,B+ (3.45),B (3.23)
"Trigilio, Michael",VIS 194S - Fantasy In Film (A),S216,55,28,92.90%,96.40%,4.21,B+ (3.54),B (3.24)
"Joslyn, Kara Lee",VIS 105A - Drawing: Representing/Subject (A),S116,14,1,0.00%,0.00%,0,N/A,N/A
"Li, Huai",VIS 105D - Aesthetics/Chinese Calligraphy (A),S116,13,5,100.00%,100.00%,0.9,A- (3.80),N/A
"Anderson, Shane Nicholas",VIS 165 - Camera Tech:Analog Futures (A),S116,19,4,100.00%,100.00%,9.5,A- (3.75),N/A
"Cachia, Amanda Louise",VIS 22 - Formations of Modern Art (A),S116,39,18,93.30%,100.00%,5.36,A- (3.85),B+ (3.35)
"Anderson, Shane Nicholas",VIS 60 - Intro/Digital Photography (A),S116,45,12,80.00%,80.00%,8.75,B+ (3.43),B+ (3.44)
"Cruz, Edwin Teddy",VIS 102 - Cross-Border Urbanizations (B),SP16,59,29,89.70%,96.60%,3.81,A- (3.85),B+ (3.67)
"Quesnell, Iana Kathleen",VIS 105B - Drawing: Practices and Genre (A),SP16,16,12,90.90%,100.00%,5.23,A- (3.82),N/A
"Li, Huai",VIS 105E - Chin Calligraphy/Installation (A),SP16,13,10,100.00%,100.00%,5.5,A (4.00),N/A
"Vangenderen, Monique Luise",VIS 106A - Painting: Image Making (A),SP16,24,18,83.30%,61.10%,7.17,B+ (3.65),A- (3.84)
"Bedford, Elizabeth W",VIS 106C - Painting: Portfolio Projects (A),SP16,16,14,100.00%,100.00%,6.36,A- (3.85),N/A
"Eginton, Kelly C.",VIS 107A - Sculpture: Making the Object (A),SP16,27,17,100.00%,100.00%,8,A (4.00),A- (3.88)
"Vangenderen, Monique Luise",VIS 108 - Advanced Projects in Art (A),SP16,16,11,100.00%,100.00%,5.77,A- (3.91),N/A
"Gallaccio, Anya",VIS 110G - Natural & Altered Environment (A),SP16,14,10,100.00%,100.00%,10.7,A- (3.80),N/A
"Welchman, John C.",VIS 113CN - Hist/Criticsm III:Contemporary (A),SP16,11,6,66.70%,100.00%,5.17,B- (2.80),N/A
"Newsome, Elizabeth Ann",VIS 126HN - Pac Coast American Indian Art (A),SP16,30,14,92.90%,92.90%,4.64,A- (3.85),B+ (3.46)
"Sowell, Teri Lynne",VIS 126K - Oceanic Art (A),SP16,43,21,90.50%,95.20%,5.07,B+ (3.45),B+ (3.41)
"Tronzo, William",VIS 128A - Topics/Pre-Modern Art History (A),SP16,29,10,80.00%,100.00%,2.5,A- (3.89),A- (3.82)
"Welchman, John C.",VIS 128C - Topics in Modern Art History (A),SP16,20,16,87.50%,93.80%,4.77,B+ (3.36),B+ (3.49)
"Bryson, William N",VIS 129B - Seminar/Early Modern Art Hist (A),SP16,12,9,100.00%,100.00%,4.94,A (4.00),N/A
"Wardwell, Mariana Razo",VIS 129H - Art Hist Hon Directed Grp Stdy (A),SP16,7,5,100.00%,100.00%,11.7,A (4.00),N/A
"Trigilio, Michael",VIS 131 - Special Projects in Media (A),SP16,11,10,100.00%,100.00%,9.25,C+ (2.60),N/A
"Stalbaum, Brett",VIS 141A - Computer Programming/Arts I (A),SP16,16,5,100.00%,80.00%,6.5,A- (3.75),N/A
"Wade, Nathan S",VIS 145B - Time&Process Digital Media II (A),SP16,14,3,100.00%,100.00%,2.5,A (4.00),N/A
"Wade, Nathan S",VIS 145B - Time&Process Digital Media II (B),SP16,16,4,100.00%,100.00%,5.17,B+ (3.33),N/A
"Stalbaum, Brett",VIS 149 - Contemporary Computer Topics (A),SP16,18,8,100.00%,100.00%,3.25,A (4.00),N/A
"Cartwright, Lisa",VIS 152D - IdentityThruTransnationalCinem (A),SP16,171,61,83.90%,92.90%,4.54,B+ (3.64),B+ (3.66)
"Porter, Ava Hermine",VIS 154 - Hard Look at the Movies (A),SP16,83,58,81.50%,90.70%,2.72,B+ (3.53),B+ (3.42)
"Karlic, Karolina",VIS 167 - Social Engagement&Photography (A),SP16,22,10,100.00%,100.00%,8.25,A- (3.86),A- (3.78)
"Mangolte, Babette",VIS 171 - Digital Cinema-Theory/Productn (A),SP16,21,6,83.30%,50.00%,10.9,B+ (3.33),B+ (3.53)
"Caplan, Lana Z",VIS 174 - Media Sketchbook (A),SP16,17,11,100.00%,72.70%,6.5,B+ (3.64),N/A
"Mangolte, Babette",VIS 176 - 16mm Filmmaking (A),SP16,21,8,28.60%,57.10%,9.36,B+ (3.50),B+ (3.54)
"Cho, Erica",VIS 177 - Scripting Strategies (A),SP16,23,17,93.80%,93.80%,5.83,B+ (3.44),B+ (3.56)
"Nielsen, Scott Leigh",VIS 178 - Sound - Theory and Production (A),SP16,17,12,100.00%,100.00%,7.33,B+ (3.58),N/A
"Caplan, Lana Z",VIS 180A - Documentary Evidence/Media Pra (A),SP16,21,11,100.00%,100.00%,5.77,B+ (3.55),B+ (3.64)
"Cho, Erica",VIS 182 - Advanced Editing (A),SP16,20,13,84.60%,84.60%,9.42,B (3.23),A- (3.81)
"Stone, Patricia",VIS 183A - Strategies of Self (A),SP16,13,10,80.00%,80.00%,3.5,A- (3.70),N/A
"Sowell, Teri Lynne",VIS 21A - Int/ArtAmericas/Africa/Oceania (A),SP16,108,68,93.70%,96.80%,3.76,A- (3.73),B+ (3.54)
"Kester, Grant",VIS 22 - Formations of Modern Art (A),SP16,234,92,93.30%,97.80%,2.94,B+ (3.68),B+ (3.50)
"Gregoire, Mathieu",VIS 3 - Intr/Art-Making:3-D Practices (A),SP16,196,87,82.90%,87.80%,4.01,B+ (3.65),B+ (3.66)
"Bratton, Benjamin H.",VIS 41 - Design Communication (A),SP16,82,49,90.90%,93.20%,5.45,A- (3.76),A- (3.77)
"Karlic, Karolina",VIS 60 - Intro/Digital Photography (A),SP16,118,49,91.50%,87.20%,6.37,A- (3.73),B+ (3.54)
"Cross, Brian R",VIS 70N - Introduction to Media (A),SP16,82,37,91.40%,80.00%,5.5,A- (3.82),A- (3.76)
"Cruz, Edwin Teddy",VIS 100 - Introduction to Public Culture (A),WI16,14,8,71.40%,71.40%,8.5,A- (3.83),N/A
"Bedford, Elizabeth W",VIS 105A - Drawing: Representing/Subject (A),WI16,19,17,100.00%,100.00%,4.63,A- (3.93),N/A
"Adler, Amy",VIS 105C - Drawing: Portfolio Projects (A),WI16,16,12,100.00%,100.00%,8.67,A (4.00),N/A
"Li, Huai",VIS 105D - Aesthetics/Chinese Calligraphy (A),WI16,19,11,100.00%,100.00%,2.9,A- (3.90),N/A
"Ortiz-Torres, Ruben",VIS 106B - Painting: Practices and Genre (A),WI16,9,4,100.00%,75.00%,3.5,A (4.00),N/A
"Vangenderen, Monique Luise",VIS 106C - Painting: Portfolio Projects (A),WI16,16,12,100.00%,100.00%,9.33,A- (3.83),N/A
"Gallaccio, Anya",VIS 107C - Sculpture: Portfolio Projects (A),WI16,9,9,100.00%,100.00%,9.17,A- (3.89),N/A
"Adler, Amy",VIS 110N - Studio Honors II (A),WI16,11,10,100.00%,100.00%,10.5,A- (3.80),N/A
"Cartwright, Lisa",VIS 111 - Structure of Art (A),WI16,222,107,69.20%,91.30%,3.15,A- (3.81),A- (3.75)
"Welchman, John C.",VIS 112 - Art Historical Methods (A),WI16,11,9,44.40%,77.80%,6.94,B+ (3.33),N/A
"Newsome, Elizabeth Ann",VIS 126I - Southwest American Indian Art (A),WI16,32,22,100.00%,100.00%,3.23,A- (3.81),B+ (3.39)
"Park, Kyong Dong",VIS 127A - Contemporary Arts in S. Korea (B),WI16,20,16,64.30%,57.10%,2.36,B+ (3.69),A- (3.73)
"Bryson, William N",VIS 127N - 20th Century Art/China & Japan (A),WI16,64,32,84.40%,93.80%,5.6,B+ (3.58),B (3.11)
"Sizonenko, Tatiana D",VIS 128B - Topic/Early Modern Art History (A),WI16,18,8,75.00%,62.50%,6.25,B+ (3.50),N/A
"Cruz, Edwin Teddy",VIS 128C - Topics in Modern Art History (A),WI16,31,15,93.30%,100.00%,3.97,A (4.00),A- (3.83)
"Nodelman, Sheldon A.",VIS 129A - Seminar/Pre-Modern Art History (A),WI16,5,1,0.00%,100.00%,2.5,B (3.00),N/A
"Wardwell, Mariana Razo",VIS 129G - Art History Honors Seminar (A),WI16,7,2,100.00%,100.00%,6.5,A (4.00),N/A
"Williams, Alena J",VIS 130 - Spec Projects in Visual Arts (A),WI16,14,10,90.00%,100.00%,6.3,A- (3.70),N/A
"Bratton, Benjamin H.",VIS 140 - Digtl Imaging:Image&Interactiv (A),WI16,94,66,81.00%,85.70%,4.18,B+ (3.47),B+ (3.63)
"Stalbaum, Brett",VIS 141A - Computer Programming/Arts I (A),WI16,15,5,100.00%,100.00%,6.5,B+ (3.40),N/A
"Wade, Nathan S",VIS 145A - Time&Process Digital Media I (A),WI16,67,30,76.70%,86.70%,5.74,B+ (3.48),B+ (3.62)
"Dominguez, Ricardo",VIS 149 - Contemporary Computer Topics (A),WI16,11,4,100.00%,100.00%,3.83,B+ (3.33),N/A
"Cartwright, Lisa",VIS 159 - History of Art and Technology (A),WI16,91,62,89.10%,96.40%,4.5,A- (3.76),B+ (3.68)
"Cross, Brian R",VIS 165 - Camera Tech:Analog Futures (A),WI16,24,17,88.20%,94.10%,6.62,B+ (3.45),B+ (3.39)
"Caplan, Lana Z",VIS 174 - Media Sketchbook (A),WI16,20,8,100.00%,100.00%,7.07,A- (3.86),B+ (3.57)
"Torres, Josefina E",VIS 174 - Media Sketchbook (B),WI16,21,10,88.90%,77.80%,13.83,A- (3.78),B (3.27)
