Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bewley, Thomas R",MAE 144 - Embedded Control & Robotics (A),FA16,73,27,73.10%,57.70%,8.88,B (3.13),B+ (3.34)
"Friend, James Robert",MAE 150 - Computer-Aided Analysis&Design (A),FA16,173,52,86.30%,94.10%,10.7,B+ (3.46),B- (2.97)
"Delson, Nathan Joseph",MAE 156A - Fund. Prin./Mechanical Desgn I (A),FA16,17,7,100.00%,100.00%,10.17,B+ (3.67),N/A
"Xu, Sheng",MAE 166 - Nanomaterials (A),FA16,7,3,66.70%,100.00%,5.17,B+ (3.67),N/A
"Garay, Javier",MAE 170 - Experimental Techniques (A),FA16,146,73,76.60%,70.30%,9.52,B+ (3.43),B (3.07)
"Lal, Ratnesh",MAE 170 - Experimental Techniques (B),FA16,113,54,60.40%,54.70%,9.28,B+ (3.33),B- (2.89)
"Bahadori, Mohammad Yousef",MAE 181 - Space Mission Analysis/Design (A),FA16,84,41,81.60%,76.30%,6.18,B+ (3.36),B- (2.84)
"Anderson, Mark Ronald",MAE 2 - Intro to Aerospace Engineering (A),FA16,117,47,100.00%,95.00%,3.75,A- (3.75),A- (3.71)
"McKittrick, Joanna M",MAE 20 - Elements of Materials Science (A),FA16,119,66,79.70%,29.70%,5.5,B+ (3.54),B+ (3.38)
"Delson, Nathan Joseph",MAE 3 - Intro/Engineering Graphcs&Desn (B),FA16,93,92,78.00%,84.60%,12.79,B+ (3.47),B+ (3.35)
"Tolley, Michael Thomas",MAE 3 - Intro/Engineering Graphcs&Desn (B),FA16,85,74,90.40%,90.40%,14.05,B+ (3.63),B (3.30)
"Gibson, Carl H.",MAE 5 - Quantitative Computer Skills (A),FA16,53,25,83.30%,87.50%,5.92,A- (3.82),A- (3.82)
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),FA16,174,82,93.50%,81.80%,7.93,B+ (3.49),B (3.20)
"Rohr, James Joseph",MAE 101B - Advanced Fluid Mechanics (A),S216,42,8,100.00%,100.00%,7.36,B (3.00),B- (2.89)
"Bandaru, Prabhakar",MAE 105 - Intro To Mathematical Physics (A),S216,47,7,100.00%,100.00%,7.17,B (3.00),B (3.15)
"Bahadori, Mohammad Yousef",MAE 130B - Mechanics II: Dynamics (A),S216,46,8,100.00%,87.50%,9,A- (3.75),B- (2.76)
"Bahadori, Mohammad Yousef",MAE 130C - Mechanics III: Vibrations (A),S216,29,6,83.30%,83.30%,12.9,C+ (2.67),B- (2.92)
"Lubarda, Marko",No CAPEs submitted,S216,18,0,N/A,N/A,N/A,N/A,N/A
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),S216,17,15,100.00%,100.00%,6.5,B+ (3.53),N/A
"COENEN, WILFRIED",MAE 101A - Introductory Fluid Mechanics (A),S116,35,9,88.90%,100.00%,7.39,B (3.11),B (3.19)
"Bahadori, Mohammad Yousef",MAE 101C - Heat Transfer (A),S116,53,13,100.00%,92.30%,7.95,B+ (3.64),B (3.02)
"Ezunkpe, Yawo Semanu",MAE 107 - Computational Methods/Engineer (A),S116,59,44,60.50%,53.50%,10.5,B (3.19),B (3.06)
"Bahadori, Mohammad Yousef",MAE 110A - Thermodynamics (A),S116,58,10,100.00%,90.00%,11.7,A- (3.70),C+ (2.47)
"Murakami, Hidenori",MAE 130A - Mechanics I: Statics (A),S116,52,11,100.00%,77.80%,6.5,B- (2.88),B- (2.88)
"Lubarda, Marko",MAE 8 - MATLAB Program for Engr Analys (A),S116,56,15,92.30%,100.00%,8.04,B+ (3.31),B (3.29)
"Nomura, Keiko K.",MAE 101B - Advanced Fluid Mechanics (A),SP16,163,45,83.70%,74.40%,8.6,B (3.07),B- (3.00)
"Sanchez, Antonio Luis",MAE 105 - Intro To Mathematical Physics (A),SP16,98,26,80.80%,92.30%,7.62,B (3.24),B (3.12)
"McEneaney, William Michael",MAE 107 - Computational Methods/Engineer (A),SP16,137,33,72.70%,72.70%,7.13,B+ (3.48),B (3.25)
"Martinez, Sonia",MAE 108 - Prob & Stats/Method/Mech Eng (A),SP16,108,27,81.50%,74.10%,5.91,B+ (3.44),B (3.28)
"Saintillan, David",MAE 108 - Prob & Stats/Method/Mech Eng (B),SP16,105,33,81.80%,97.00%,5.5,B+ (3.55),B+ (3.32)
"Bahadori, Mohammad Yousef",MAE 110B - Thermodynamic Systems (A),SP16,30,14,61.50%,92.30%,7.33,B (3.15),C+ (2.66)
"Llewellyn Smith, Stefan G.",MAE 120 - Introduction to Nuclear Energy (A),SP16,63,19,89.50%,84.20%,6.15,B (3.28),B- (2.76)
"Teranes, Jane",MAE 124 - Envrnmntl Chall: Science & Sol (A),SP16,168,54,90.20%,100.00%,5.5,B+ (3.50),B (3.08)
"Kleissl, Jan",MAE 126B - Environmental Engineering Des. (A),SP16,54,10,77.80%,88.90%,4.5,A- (3.78),B+ (3.57)
"Lubarda, Marko",MAE 130A - Mechanics I: Statics (A),SP16,49,15,100.00%,86.70%,5.12,B+ (3.36),B (3.22)
"Lubarda, Marko",MAE 130B - Mechanics II: Dynamics (A),SP16,154,47,100.00%,81.80%,6.73,B (3.12),B (3.00)
"Chen, Jiun-Shyan",MAE 130C - Mechanics III: Vibrations (A),SP16,31,9,88.90%,100.00%,6.25,B+ (3.67),B (3.18)
"Nemat-Nasser, Siavouche",MAE 131A - Solid Mechanics I (A),SP16,168,62,93.50%,96.70%,6.15,B+ (3.52),B+ (3.41)
"Murakami, Hidenori",MAE 133 - Finite Element Methods in MAE (A),SP16,55,20,100.00%,95.00%,6.4,A- (3.70),B+ (3.48)
"de Oliveira, Mauricio",MAE 143B - Linear Control (A),SP16,176,47,77.80%,77.80%,8.23,B (3.18),B (3.12)
"Talke, Frank E",MAE 150 - Computer-Aided Analysis&Design (A),SP16,28,12,90.90%,90.90%,11.05,B- (2.89),C+ (2.68)
"Anderson, Mark Ronald",MAE 155B - Aerospace Engineering Desgn II (A),SP16,39,9,100.00%,100.00%,6,B+ (3.38),B+ (3.64)
"Harrington, Steven Merrill",MAE 155B - Aerospace Engineering Desgn II (B),SP16,10,3,100.00%,100.00%,14.5,A (4.00),N/A
"Tustaniwskyj, Jerry I",MAE 156B - Fund. Prin/Mechanical Desgn II (B),SP16,30,24,91.70%,79.20%,13.67,B+ (3.61),B+ (3.56)
"Gillett, David S",MAE 156B - Fund. Prin/Mechanical Desgn II (C),SP16,33,24,100.00%,100.00%,14.08,B+ (3.54),B+ (3.48)
"Hoople, Gordon",MAE 156B - Fund. Prin/Mechanical Desgn II (C),SP16,33,24,100.00%,100.00%,14.08,B+ (3.54),B+ (3.48)
"Beg, Farhat N.",MAE 170 - Experimental Techniques (A),SP16,192,57,63.60%,69.10%,9.58,B+ (3.43),B- (2.80)
"Cattolica, Robert J",MAE 170 - Experimental Techniques (B),SP16,96,34,81.30%,62.50%,8.56,B+ (3.31),B- (2.72)
"Bahadori, Mohammad Yousef",MAE 180A - Spacecraft Guidance I (A),SP16,104,40,97.40%,94.90%,6.45,B (3.24),B (3.02)
"Delson, Nathan Joseph",MAE 3 - Intro/Engineering Graphcs&Desn (A),SP16,184,160,92.50%,95.60%,12.34,B+ (3.62),B+ (3.42)
"Gibson, Carl H.",MAE 5 - Quantitative Computer Skills (A),SP16,44,16,86.70%,80.00%,5.07,B+ (3.57),A- (3.80)
"Pham, Hieu Tan",MAE 8 - MATLAB Program for Engr Analys (A),SP16,180,73,85.50%,89.90%,7.65,B+ (3.45),B (3.21)
"Anderson, Mark Ronald",MAE 92A - Design Competitn/Fly Aircraft (A),SP16,24,6,100.00%,100.00%,2.9,N/A,N/A
"Miller, David R.",MAE 101A - Introductory Fluid Mechanics (A),WI16,168,70,95.50%,89.40%,8.94,B (3.22),B (3.09)
"Bahadori, Mohammad Yousef",MAE 101B - Advanced Fluid Mechanics (A),WI16,60,21,100.00%,95.20%,6.6,B+ (3.50),C+ (2.66)
"Nomura, Keiko K.",MAE 110A - Thermodynamics (A),WI16,141,70,95.60%,95.60%,8.62,B (3.27),B (3.09)
"Seshadri, Kalyanasundaram",MAE 113 - Fundamentals of Propulsion (A),WI16,70,27,65.40%,57.70%,6.02,B (3.08),B- (2.97)
"Krasheninnikov, Sergei",MAE 118 - Intro to Energy & Environment (A),WI16,138,57,74.50%,67.30%,3.27,B+ (3.57),B (3.29)
"Chen, Renkun",MAE 119 - Intro Renew Energ/Solar & Wind (A),WI16,140,57,76.40%,65.50%,4.09,B+ (3.57),B+ (3.35)
"Tartakovsky, Daniel",MAE 123 - Intro/Transprt in Porous Media (A),WI16,46,16,100.00%,100.00%,4.23,B (3.14),B+ (3.65)
"Kleissl, Jan",MAE 126A - Environmental Enginring Lab (A),WI16,54,17,88.20%,100.00%,5.09,B+ (3.53),B+ (3.42)
