Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bucur, Alina Ioana",MATH 187 - Introduction to Cryptography (A),WI17,203,166,93.30%,86.10%,4.55,A- (3.74),B+ (3.57)
"Bradic, Jelena",MATH 189 - Data Analysis and Inference (A),WI17,118,41,87.50%,72.50%,7.96,B+ (3.56),B (3.03)
"Pelayo, Alvaro",MATH 190 - Introduction to Topology (A),WI17,19,13,100.00%,91.70%,6.5,B+ (3.45),N/A
"Aghajani, Mohammadreza",MATH 194 - The Mathematics of Finance (A),WI17,116,49,93.30%,71.10%,7.38,A- (3.84),B- (2.95)
"Barrese, Kenneth William",MATH 2 - Intro to College Mathematics (A),WI17,23,8,83.30%,83.30%,7.5,C+ (2.33),C+ (2.49)
"Stevens, Laura Jeanne",MATH 20A - Calculus/Science & Engineering (A),WI17,150,85,97.50%,100.00%,5.48,B (3.30),C+ (2.51)
"Um, Ko Woon",MATH 20A - Calculus/Science & Engineering (B),WI17,110,49,70.50%,65.90%,6.45,B- (2.84),C+ (2.36)
"Bowers, Adam R.",MATH 20B - Calculus/Science & Engineering (A),WI17,369,160,70.80%,94.20%,7.75,B- (2.76),C (2.21)
"Huynh, Thang L",MATH 20B - Calculus/Science & Engineering (B),WI17,145,63,74.10%,74.10%,6.75,B- (2.88),B- (2.79)
"Dewey, Edward Harold",MATH 20B - Calculus/Science & Engineering (C),WI17,202,85,80.00%,70.00%,7.21,B (3.05),C+ (2.69)
"Barrese, Kenneth William",MATH 20B - Calculus/Science & Engineering (D),WI17,131,51,78.30%,63.00%,7.61,B- (2.96),C+ (2.32)
"Longo, Brian Mitchell",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A),WI17,154,80,94.70%,100.00%,5.82,B+ (3.32),B- (2.77)
"Bowers, Adam R.",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B),WI17,414,190,89.80%,91.50%,6.85,B (3.25),B- (2.76)
"Gawlik, Evan Scott",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (C),WI17,391,203,93.50%,97.00%,6.12,B+ (3.34),B- (2.76)
"Ying, Jiangang",MATH 20D - Intro/Differential Equations (A),WI17,184,73,90.00%,55.70%,6.5,B (3.29),B- (2.86)
"Conant, James R",MATH 20D - Intro/Differential Equations (B),WI17,382,175,90.60%,94.20%,6.4,B+ (3.49),B (3.10)
"Stone, Corey Dean",MATH 20D - Intro/Differential Equations (C),WI17,293,119,88.80%,94.80%,6.55,B+ (3.36),C+ (2.67)
"Behzadan, Ali",MATH 20E - Vector Calculus (A),WI17,237,112,94.30%,99.00%,6.56,A- (3.77),B+ (3.59)
"Roberts, Justin Deritter",MATH 20E - Vector Calculus (B),WI17,217,76,78.90%,83.10%,6.91,B (3.24),C+ (2.66)
"Tucker, Henry Jackson",MATH 20E - Vector Calculus (C),WI17,154,69,67.20%,14.90%,7.49,B- (2.81),C+ (2.60)
"Sorensen, Claus M",MATH 31BH - Honors Multivariable Calculus (A),WI17,33,27,88.90%,74.10%,7.96,B (3.20),B+ (3.51)
"Zou, Nan",MATH 3C - Precalculus (A),WI17,153,69,87.90%,65.20%,6.06,B (3.17),B- (2.77)
"Preskitt, Brian Patrick",MATH 4C - Pre-calculus for Sci & Engn (A),WI17,38,14,91.70%,83.30%,6.67,B (3.00),C+ (2.67)
"Bunch, James R.",MATH 87 - Freshman Seminar (A),WI17,17,11,100.00%,100.00%,0.7,A (4.00),N/A
"Stevens, Laura Jeanne",MATH 87 - Freshman Seminar (B),WI17,17,13,84.60%,92.30%,0.81,A (4.00),N/A
"Wulbert, Daniel E.",MATH 87 - Freshman Seminar (C),WI17,5,3,100.00%,100.00%,0.5,N/A,N/A
"Harel, Guershon",MATH 95 - Introduction to Teaching Math (A),WI17,12,6,83.30%,83.30%,5.17,B+ (3.40),N/A
"McKernan, James",MATH 100A - Abstract Algebra I (A),FA16,98,39,83.80%,86.50%,8.5,B (3.29),B- (2.97)
"Harel, Guershon",MATH 102 - Applied Linear Algebra (A),FA16,177,58,88.90%,79.60%,7.39,B (3.14),C (2.16)
"Pelayo, Alvaro",MATH 103A - Modern Algebra I (A),FA16,68,33,93.50%,100.00%,6.78,B- (2.97),B- (2.77)
"Carter, Anne Toulson",MATH 103A - Modern Algebra I (B),FA16,69,34,90.60%,96.90%,7.02,B+ (3.63),B (3.15)
"Sorensen, Claus M",MATH 103A - Modern Algebra I (C),FA16,44,37,83.80%,81.10%,8.21,B (3.11),B (3.06)
"Rabin, Jeffrey Mark",MATH 104A - Number Theory I (A),FA16,34,19,84.20%,89.50%,8.08,B- (2.94),B (3.11)
