Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (C),FA13,24,4,100.00%,100.00%,2.5,A- (3.75),B (3.20)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (D),FA13,25,7,71.40%,71.40%,3.93,B+ (3.57),B (3.20)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (E),FA13,25,8,57.10%,57.10%,4.79,B (3.00),B (3.20)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (F),FA13,24,12,58.30%,75.00%,3.95,A- (3.73),B (3.20)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (G),FA13,25,6,100.00%,100.00%,2.9,B (3.00),B (3.20)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (H),FA13,25,6,66.70%,66.70%,3.17,B+ (3.67),B (3.20)
"Branson, James G","PHYS 1C - Waves, Optics & Modern Physics (A)",FA13,92,23,69.60%,39.10%,5.98,B (3.09),B (3.01)
"Groisman, Alexander","PHYS 1CL - Waves,Optics&Modrn Phys Lab (A)",FA13,94,18,82.40%,94.10%,4.03,B (3.24),B (3.25)
"Paar, Hans Peter",PHYS 2A - Physics-Mechanics (A),FA13,334,162,84.30%,56.60%,7.86,B (3.12),B- (2.75)
"Rappel, Wouter Jan",PHYS 2B - Phys-Electricity and Magnetism (A),FA13,347,129,90.50%,88.90%,6.14,B (3.18),C+ (2.57)
"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat (A),FA13,148,47,53.20%,70.20%,6.46,B (3.02),B- (2.90)
"Intriligator, Kenneth Arthur","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (A)",FA13,188,63,85.00%,63.30%,5.26,B+ (3.37),B- (2.96)
"Intriligator, Kenneth Arthur","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (B)",FA13,347,138,87.40%,66.90%,5.72,B (3.20),B- (2.96)
"Anderson, Michael G.","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt (A)",FA13,261,88,52.30%,75.00%,8.66,B (3.27),B- (2.99)
"Manohar, Aneesh Vasant",PHYS 4C - Phys Majrs-Elect & Magnetism (A),FA13,27,12,72.70%,63.60%,9.77,B- (2.80),B (3.12)
"Keres, Dusan",PHYS 7 - Galaxies and Cosmology (A),FA13,46,19,100.00%,94.70%,4.08,B+ (3.59),B (3.01)
"Murphy, Christopher W",PHYS 1A - Mechanics (A),S213,39,8,62.50%,25.00%,7.25,C+ (2.63),B (3.10)
"Schanning, Ian Lennon",PHYS 1AL - Mechanics Laboratory (0),S213,41,6,100.00%,100.00%,7,A- (3.75),B+ (3.34)
"Shotwell, Brian",PHYS 1B - Electricity and Magnetism (A),S213,51,9,44.40%,55.60%,9.39,B+ (3.33),B- (2.89)
"Schanning, Ian Lennon",PHYS 1BL - Electricity & Magnetism Lab (0),S213,47,9,66.70%,77.80%,6.06,B+ (3.67),B (3.24)
"Anderson, Michael G.","PHYS 1C - Waves, Optics & Modern Physics (A)",S213,57,9,88.90%,100.00%,6.5,B- (2.89),B- (2.92)
"Schanning, Ian Lennon","PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)",S213,59,10,80.00%,100.00%,4.3,B+ (3.60),B (3.29)
"Palmer, Christopher A",PHYS 2B - Phys-Electricity and Magnetism (A),S213,71,26,87.50%,79.20%,9.58,B (3.21),B- (2.80)
"Shotwell, Brian","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (A)",S213,87,19,72.20%,83.30%,7.44,B+ (3.39),B- (2.81)
"Anderson, Michael G.","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt (A)",S213,118,29,39.30%,78.60%,11.07,B (3.21),B (3.02)
"Stone, David Curtis",PHYS 2D - Phys-Relativity&Quantm Physics (A),S213,141,41,82.90%,95.10%,8.45,B (3.02),B- (2.85)
"Conger, Casey J",PHYS 1A - Mechanics (A),S113,77,10,88.90%,100.00%,8.72,B (3.00),B- (2.95)
"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory (0),S113,73,6,83.30%,83.30%,6.5,B+ (3.50),B+ (3.44)
"Palmer, Christopher A",PHYS 1B - Electricity and Magnetism (A),S113,57,12,66.70%,66.70%,9,B (3.27),B- (2.72)
"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab (0),S113,49,13,72.70%,90.90%,4.86,B+ (3.64),B+ (3.33)
"Agarwal, Prarit","PHYS 1C - Waves, Optics & Modern Physics (A)",S113,43,9,77.80%,55.60%,5.83,B+ (3.67),B (3.13)
