Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (C),WI17,58,44,93.20%,93.20%,3.29,A- (3.79),B+ (3.68)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (D),WI17,58,47,93.60%,93.60%,4.37,A- (3.76),B+ (3.68)
"Halicioglu, Daniel T",CSE 191 - Semnr/Computer Sci & Engineer (A),WI17,35,17,100.00%,100.00%,0.5,A (4.00),A (4.00)
"Minnes Kemp, Mor Mia",CSE 191 - Semnr/Computer Sci & Engineer (B),WI17,5,1,100.00%,100.00%,10.5,N/A,N/A
"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (A),WI17,267,210,89.70%,97.50%,6.69,B+ (3.68),B (3.16)
"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (B),WI17,101,83,90.40%,97.60%,7.28,B+ (3.65),B (3.16)
"Kahng, Andrew Byun",CSE 21 - Math/Algorithm&Systems Analys (A),WI17,151,54,94.10%,92.20%,7.06,B+ (3.50),B (3.20)
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),WI17,145,48,90.50%,69.00%,6.26,B+ (3.30),B- (2.99)
"Marx, Susan S",CSE 3 - Fluency/Information Technology (A),WI17,149,65,85.50%,67.70%,3.66,B+ (3.65),B (3.30)
"Ord, Richard",CSE 30 - Computer Organiz&Systms Progrm (A),WI17,266,97,90.80%,83.90%,13.2,B (3.23),B- (2.81)
"Ord, Richard",CSE 30 - Computer Organiz&Systms Progrm (B),WI17,108,38,91.70%,91.70%,12.74,B (3.22),B- (2.81)
"Marx, Susan S",CSE 7 - Intro Programming MATLAB (A),WI17,130,55,83.00%,73.60%,3.65,B+ (3.42),B (3.24)
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),WI17,14,6,66.70%,100.00%,1.3,A (4.00),N/A
"Loksa, Dastyni Craig",CSE 8A - Intro/Computer Sci: Java (I) (A),WI17,162,146,87.60%,83.40%,8.47,B (3.28),B (3.07)
"Loksa, Dastyni Craig",CSE 8A - Intro/Computer Sci: Java (I) (B),WI17,166,153,90.80%,79.60%,7.89,B+ (3.48),B (3.07)
"Cao, Yingjun",CSE 8B - Intro/Computer Sci. Java (II) (A),WI17,161,144,94.40%,98.60%,10.84,B+ (3.64),B+ (3.51)
"Cao, Yingjun",CSE 8B - Intro/Computer Sci. Java (II) (B),WI17,110,90,93.20%,97.70%,10.9,B+ (3.57),B+ (3.51)
