Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cohen, Seth M",CHEM 7L - General Chemistry Laboratory (A),WI17,260,158,88.80%,94.70%,4.71,B+ (3.52),B+ (3.49)
"Cohen, Seth M",CHEM 7L - General Chemistry Laboratory (B),WI17,269,154,95.10%,97.20%,5.06,B+ (3.54),B+ (3.49)
"Brydges, Stacey",CHEM 87 - Freshman Seminar (A),WI17,10,10,90.00%,100.00%,0.9,A (4.00),N/A
"Shaheen, Robina",CHEM 100A - Analytical Chemistry Lab (A),FA16,95,53,64.60%,12.50%,8.12,B (3.17),B (3.18)
"Pomeroy, Robert S.",CHEM 100B - Instrumental Chemistry Lab (A),FA16,14,7,100.00%,85.70%,9.36,B (3.14),N/A
"Crowell, John E",CHEM 105A - Physical Chemistry Laboratory (A),FA16,29,11,72.70%,81.80%,10.5,B- (2.73),B (3.00)
"Ghosh, Gourisankar",CHEM 108 - Protein Biochemistry Lab (A),FA16,73,39,94.70%,81.60%,5.76,B+ (3.45),B+ (3.48)
"Mrse, Anthony Adrian",CHEM 11 - The Periodic Table (A),FA16,202,86,70.50%,76.90%,5.06,B (3.13),B (3.17)
"Toor, Navtej",CHEM 114A - Biochemical Structure&Function (A),FA16,232,113,89.20%,71.20%,6.65,B (3.29),B- (2.90)
"Ghosh, Gourisankar",CHEM 114D - Molecular & Cellular Biochem (A),FA16,27,11,90.00%,100.00%,6.72,B+ (3.50),B+ (3.49)
"Rinehart, Jeffrey Dennis",CHEM 120A - Inorganic Chemistry I (A),FA16,161,86,94.10%,97.60%,7.31,B (3.25),B- (2.74)
"Yuen Zhou, Joel",CHEM 127 - Physical Chem: Thermodynamics (A),FA16,126,101,64.00%,62.00%,8.02,B- (2.86),B- (2.94)
"Sinha, Amitabha",CHEM 130 - Chem Physics: Quantum Mech (A),FA16,80,34,72.70%,66.70%,9.25,B- (2.94),C+ (2.70)
"Oconnor, Joseph M.",CHEM 140A - Organic Chemistry I (A),FA16,381,195,81.10%,76.70%,9.47,B- (2.95),B- (2.76)
"Yang, Jerry",CHEM 140A - Organic Chemistry I (B),FA16,193,86,76.50%,66.70%,8.38,B- (2.91),C+ (2.65)
"Ternansky, Robert J.",CHEM 140A - Organic Chemistry I (C),FA16,188,128,86.30%,86.30%,9.79,B- (2.92),B- (2.70)
"Perrin, Charles L.",CHEM 140A - Organic Chemistry I (D),FA16,349,192,82.70%,83.20%,8.49,B (3.03),C+ (2.66)
"Albizati, Kim F.",CHEM 140A - Organic Chemistry I (E),FA16,158,81,96.20%,98.70%,7.73,B (3.04),C+ (2.61)
"Theodorakis, Emmanouil",CHEM 140B - Organic Chemistry II (A),FA16,142,77,86.50%,89.20%,7.13,B (3.05),C+ (2.66)
"Hoeger, Carl",CHEM 140B - Organic Chemistry II (B),FA16,136,61,75.50%,84.90%,9.62,B (3.06),C+ (2.63)
"Hermann, Thomas",CHEM 140C - Organic Chemistry III (A),FA16,283,116,90.00%,96.40%,6.63,B (3.23),B (3.01)
"Cao, Kevin Jay",CHEM 143A - Organic Chemistry Laboratory (A),FA16,460,236,86.80%,89.50%,5.93,B (3.28),B (3.21)
"Ternansky, Robert J.",CHEM 143C - Organic Chemistry Laboratory (A),FA16,53,23,90.90%,72.70%,8.39,B- (2.89),B (3.20)
"Weizman, Haim",CHEM 143D - Molecular Design & Synthesis (B),FA16,9,5,100.00%,100.00%,8.9,B+ (3.40),N/A
"Theodorakis, Emmanouil",CHEM 152 - Synthetic Methods/Organic Chem (A),FA16,44,22,77.30%,81.80%,3.95,B (3.27),B+ (3.48)
"Tor, Yitzhak",CHEM 154 - Mechanisms/Organic Reactions (A),FA16,39,22,94.70%,100.00%,6.71,B+ (3.67),B+ (3.58)
"Pomeroy, Robert S.",CHEM 172 - Environmental Chemistry II (A),FA16,69,26,100.00%,100.00%,5.62,B- (2.92),B- (2.78)
"Albizati, Kim F.",CHEM 192 - Sr Seminar in Chem & Biochem (A),FA16,19,9,100.00%,100.00%,1.83,B- (2.75),N/A
"Hoeger, Carl",CHEM 4 - Basic Chemistry (A),FA16,235,139,85.70%,86.50%,6.96,B- (2.80),B- (2.75)
"Berniolles, Sandrine",CHEM 6A - General Chemistry I (A),FA16,397,220,93.70%,87.90%,6.35,B (3.15),B (3.06)
"Berniolles, Sandrine",CHEM 6A - General Chemistry I (B),FA16,205,121,95.50%,93.60%,6.5,B (3.13),B (3.06)
"Brydges, Stacey",CHEM 6A - General Chemistry I (C),FA16,329,190,96.10%,95.60%,6.96,B+ (3.42),B (3.10)
"Johnson, Christina A",CHEM 6A - General Chemistry I (D),FA16,425,245,93.50%,97.80%,7.88,B (3.00),B (3.18)
"Johnson, Christina A",CHEM 6A - General Chemistry I (E),FA16,433,275,92.70%,94.30%,7.35,B (3.10),B (3.18)
"Crowell, John E",CHEM 6A - General Chemistry I (F),FA16,326,188,87.30%,53.00%,7.67,B (3.02),B- (2.72)
"Moore, Amy Lea",CHEM 6A - General Chemistry I (G),FA16,327,197,94.50%,90.10%,6.3,B+ (3.31),B (3.08)
"Lam, Tin Yiu",CHEM 6A - General Chemistry I (H),FA16,193,116,91.00%,85.60%,6.68,B (3.26),B- (2.88)
"Albizati, Kim F.",CHEM 6A - General Chemistry I (I),FA16,217,120,92.90%,92.00%,5.77,B+ (3.49),B (3.01)
"Tauber, Michael",CHEM 6AH - Honors General Chemistry I (A),FA16,125,86,78.50%,75.90%,8.35,B+ (3.30),B+ (3.34)
"Bussey, Thomas J",CHEM 6B - General Chemistry II (A),FA16,210,106,89.10%,99.00%,5.79,B (3.19),C+ (2.70)
"Bussey, Thomas J",CHEM 6C - General Chemistry III (A),FA16,385,172,97.00%,98.20%,6.61,B (3.21),B- (2.81)
"Kim, Judy E.",CHEM 7L - General Chemistry Laboratory (A),FA16,347,182,76.60%,74.30%,7.17,B (3.20),B- (2.97)
"Kim, Judy E.",CHEM 7L - General Chemistry Laboratory (B),FA16,336,165,76.50%,81.00%,6.33,B (3.22),B- (2.97)
"Weizman, Haim",CHEM 87 - Freshman Seminar (B),FA16,16,9,100.00%,100.00%,1.25,N/A,N/A
